,Country,Region,Winery,Rating,NumberOfRatings,Price,Year,type_wine,Variety
243,France,Saint-Émilion Grand Cru,Château Belair-Monange,4.0,107,131,2014,red,blend
244,France,Margaux,Château Lascombes,4.0,107,87,2017,red,blend
245,France,Pauillac,Château d'Armailhac,3.9,107,53,2017,red,blend
246,France,Pays d'Oc,Gayda,3.7,107,11,2018,red,blend
247,France,Pays d'Oc,La Forge Estate,3.6,107,7,2018,red,Pinot Noir
248,Spain,Alicante,Vergel,3.6,107,7,2018,red,blend
249,South Africa,Wellington,Mont du Toit,3.8,107,12,2015,red,Cabernet Sauvignon
250,Italy,Montepulciano d'Abruzzo,Fosso Corno,3.7,107,8,2015,red,Montepulciano
251,Italy,Barbera d'Alba,Comm. G.B. Burlotto,3.9,107,17,2018,red,Barbera
252,Germany,Baden,Ziereisen,3.7,107,11,2015,red,blend
253,United States,Napa Valley,Promontory,4.7,107,721,2013,red,blend
254,Spain,Ribera del Duero,Rolland & Galarreta 'R&G',3.7,107,14,2015,red,Merlot
255,Austria,Burgenland,Umathum,3.6,107,13,2017,red,Sankt Laurent
256,France,Gigondas,M. Chapoutier,3.9,107,25,2017,red,blend
257,Other Countries,Other Region,Other Winery,3.7,107,12,2017,red,Agiorgitiko
258,Argentina,San Juan,Callia,3.5,107,9,2018,red,Malbec
259,Italy,Salento,Conti Zecca,4.0,107,25,2010,red,blend
260,Italy,Salice Salentino,Epicuro,3.6,107,6,2017,red,blend
261,Italy,Valpolicella,Rocca Sveva,3.7,107,16,2014,red,blend
262,France,Gevrey-Chambertin,Chanson,4.1,107,51,2015,red,blend
263,Spain,Valencia,Vegalfaro,3.8,107,17,2014,red,Merlot
264,Italy,Barolo,Borgogno,4.2,107,80,2013,red,blend
265,Argentina,Mendoza,Catena Zapata,4.6,107,90,2016,red,Malbec
266,Other Countries,Other Region,Other Winery,4.1,107,12,2018,red,Malbec
267,France,Saint-Joseph,Cave de Tain,4.0,107,28,2012,red,blend
268,Italy,Südtirol - Alto Adige,Klaus Lentsch,3.8,107,20,2016,red,blend
269,Spain,Rioja,Campo Viejo,3.5,1070,8,2016,red,blend
270,France,Margaux,Château Brane-Cantenac,3.8,1070,34,2014,red,blend
271,South Africa,Swartland,Allesverloren,3.6,1070,11,2017,red,Shiraz
272,Italy,Torgiano,Lungarotti,3.7,1071,10,2016,red,blend
273,United States,Willamette Valley,Domaine Serene,4.3,1071,59,2014,red,Pinot Noir
274,Argentina,Mendoza,El Enemigo,4.5,1072,62,2015,red,blend
275,Spain,Rioja,Benjamin de Rothschild - Vega Sicilia,4.3,1073,49,2015,red,blend
276,United States,North Coast,Ghost Pines,3.9,1075,17,2016,red,Zinfandel
277,Argentina,Tupungato,Sophenia,3.8,1076,13,2016,red,Malbec
278,France,Saint-Estèphe,Château de Pez,3.9,1077,37,2011,red,blend
279,Italy,Rosso di Montalcino,Tenuta Il Poggione,3.9,1077,21,2014,red,blend
280,France,Saint-Estèphe,Château Lafon-Rochet,4.1,1077,80,2005,red,blend
281,United States,Napa Valley,Francis Ford Coppola,3.9,1078,21,2016,red,Zinfandel
282,United States,Napa Valley,Opus One,4.4,10799,155,2023,red,blend
283,Italy,Puglia,Tormaresca,3.5,108,8,2018,red,Cabernet Sauvignon
284,Italy,Veneto,Quintarelli Giuseppe,4.4,108,116,2010,red,blend
285,Italy,Taurasi,Feudi di San Gregorio,4.1,108,17,2015,red,blend
286,Chile,Colchagua Valley,Caliterra,3.7,108,10,2018,red,blend
287,France,Lalande-de-Pomerol,Château Les Hauts-Conseillants,4.0,108,20,2014,red,blend
288,France,La Clape,Gérard Bertrand,4.4,108,71,2015,red,blend
289,South Africa,Stellenbosch,Kaapzicht,4.0,108,16,2015,red,Shiraz
290,France,Gigondas,Château de Saint Cosme,4.3,108,50,2015,red,blend
291,Italy,Primitivo di Manduria,Terre di Campo Sasso,4.1,108,8,2018,red,Primitivo
292,South Africa,Stellenbosch,Simonsig,4.2,108,19,2017,red,Pinotage
293,Spain,Priorat,Álvaro Palacios,4.4,108,70,2017,red,blend
294,Chile,Colchagua Valley,Siegel,4.2,108,29,2015,red,blend
295,Italy,Salento,San Marzano,3.9,108,7,2016,red,Malvasia
296,Italy,Vino Nobile di Montepulciano,Talosa,3.9,108,14,2016,red,Montepulciano
297,Spain,Rioja,Bodegas Amaren,4.2,108,35,2010,red,Tempranillo
298,France,Bordeaux Supérieur,Château Picon,3.5,108,7,2017,red,blend
299,Italy,Valpolicella Valpantena,Costa Arente,3.8,108,16,2017,red,blend
300,Italy,Maremma Toscana,Tommasi,3.9,108,20,2015,red,blend
301,Spain,Rioja,Bodegas Valdemar,4.0,108,13,2012,red,blend
302,France,Pays d'Oc,Domaine La Grange,4.2,108,9,2018,red,blend
303,Spain,Campo de Borja,Borsao,4.1,108,16,2016,red,Syrah
304,Spain,Extremadura,Coloma,4.0,108,12,2016,red,Merlot
305,Spain,Castilla y León,Dehesa La Granja,4.1,108,35,2000,red,blend
306,Italy,Südtirol - Alto Adige,Colterenzio (Schreckbichl),3.8,108,19,2016,red,Merlot
307,South Africa,Stellenbosch,Stark-Condé,3.8,108,12,2017,red,Cabernet Sauvignon
308,Italy,Amarone della Valpolicella,Musella,4.2,108,29,2012,red,blend
309,Spain,Rioja,Ortega Ezquerro,3.9,108,14,2012,red,blend
310,Portugal,Lisboa,Casa Santos Lima,3.6,108,9,2016,red,blend
311,Italy,Salento,Varvaglione,3.9,1080,7,2017,red,Primitivo
312,Italy,Toscana,Capannelle,4.4,1081,112,2013,red,blend
313,Other Countries,Other Region,Other Winery,4.1,1082,13,2017,red,Cabernet Sauvignon
314,Italy,Toscana,Gaja,4.0,1083,31,2017,red,blend
315,Spain,Somontano,Enate,3.6,1084,10,2015,red,Cabernet Sauvignon
316,Spain,Rioja,Bodegas Valdemar,4.0,1084,20,2008,red,blend
317,South Africa,Robertson,Springfield Estate,4.1,1084,17,2017,red,Cabernet Sauvignon
318,Spain,Campo de Borja,Borsao,3.6,1085,6,2018,red,blend
319,Chile,Cachapoal Valley,Altaïr,4.2,1085,21,2017,red,blend
320,United States,Livermore Valley,Wente,4.0,1086,21,2014,red,Cabernet Sauvignon
321,France,Saint-Estèphe,Château de Pez,4.0,1089,34,2012,red,blend
322,Chile,Maipo Valley,Carmen,3.8,1089,12,2017,red,Cabernet Sauvignon
323,Australia,Barossa,Peter Lehmann,3.9,109,33,2013,red,blend
324,France,Montagne-Saint-Émilion,Clos de Bouard,4.0,109,27,2016,red,blend
325,France,Pays d'Oc,Baron Philippe de Rothschild,3.4,109,7,2018,red,Cabernet Sauvignon
326,France,La Clape,Château Rouquette Sur Mer,3.8,109,15,2015,red,blend
327,France,Saint-Émilion Grand Cru,Château Belair-Monange,4.3,109,225,2015,red,blend
328,United States,Central Coast,Ryder Estate,3.7,109,17,2017,red,Pinot Noir
329,France,Comté Tolosan,Carmelle,3.7,109,6,2018,red,Malbec
330,United States,Washington,Stimson Estate Cellars,3.6,109,8,2015,red,Merlot
331,Austria,Burgenland,Krutzler,3.5,109,9,2017,red,Blaufränkisch
332,Italy,Chianti,Badia di Morrona,3.5,109,8,2018,red,blend
333,France,Pays d'Oc,Calmel & Joseph,3.8,109,7,2017,red,Syrah
334,Spain,Priorat,Terroir Al Límit Soc. Lda,4.0,109,60,2016,red,blend
335,Italy,Amarone della Valpolicella,Le Ragose,4.3,109,60,2007,red,blend
336,South Africa,Stellenbosch,Delheim,4.3,109,36,2014,red,Shiraz
337,Italy,Toscana,Tenuta di Sesta,4.0,109,13,2016,red,blend
338,Spain,Rioja,Bodega Contador (Benjamín Romeo),4.6,109,329,2014,red,blend
339,France,Fronsac,Château Moulin Haut-Laroque,4.0,109,22,2015,red,blend
340,Germany,Baden,Weingut Holger Koch,3.6,109,30,2014,red,Pinot Noir
341,Germany,Württemberg,Grafen Neipperg,3.2,109,10,2014,red,blend
342,Spain,Mallorca,Ses Talaioles,4.2,109,32,2014,red,blend
343,France,Pomerol,Château Gombaude-Guillot,4.1,109,69,2012,red,blend
344,Spain,Priorat,Casa Gran del Siurana,4.1,109,21,2016,red,blend
345,France,Beaujolais,Jean-Marc Despres,3.7,109,9,2018,red,blend
346,France,Saint-Estèphe,Château Clauzet,3.8,109,25,2016,red,blend
347,Italy,Valpolicella,Allegrini,3.7,1092,13,2014,red,blend
348,Australia,Barossa Valley,Yalumba,3.6,1093,21,2013,red,Shiraz
